COD. INTERNO,DESCRIPCION,PRECIO USD,PRECIO ARS,unidad,,,,,,,,,,,,,,
CH-TC01V,"TECNOCABLES - chicote 0,75 x 65mm - terminal PH2,8 - desv 9mm VERDE","0,089","133,5",un,,0,,,,,,,,,,,,
CH-TC01V2,"TECNOCABLES - chicote 0,5 x 65mm - terminal PH2,8 - desv 9mm VERDE","0,079","118,5",un,,0,,,,,,,,,,,,
CH-TC02M,"TECNOCABLES - chicote 0,75 x 75mm - terminal PH6,35 - desv 9mm MARRON","0,087","130,5",un,,0,,,,,,,,,,,,
CH-TC02M2,"TECNOCABLES - chicote 0,5 x 75mm - terminal PH6,35 - desv 9mm MARRON","0,081","121,5",un,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
INTERRUPTORES,,,,,,,,,,,,,,,,,,
SW-EL10AST,ELEMON - tecla switch ON/OFF - 10A SIN termica - 13x29mm,"0,330",495,un,,1485000,,,,,,,,,,,,
SW-EL10ACT,ELEMON - tecla switch ON/OFF - 10A CON termica - 13x29mm,"1,016",1524,un,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
SW-AT10AST,ALCIDES TESSA - tecla switch ON/OFF - 10A sin termica - 13x29mm,,0,un,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
SW-ZP10AST,ZAP - tecla switch ON/OFF 10A - 11x29mm ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
FERRETERIA,,,,,,,,,,,,,,,,,,
TRN-DT01,DALTOR - Tornillo de carcaza,"0,009",14,un,,,,,,,,,,,,,,
TRN-DT02,DALTOR - Tornillo p/bornera,"0,003",5,un,,,,,,,,,,,,,,
BRN-DT01,DALTOR - Cuadradito bornera,"0,012",18,un,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
BRN-TAC01,TAC - Cuadradito bornera ,"0,009",13,un,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
PACKAGING,,,,,,,,,,,,,,,,,,
PK-B-ZP415,Bolsa plastica ZAP4 c/cable - 15 x 42cm,"0,040",60,un,,,,,,,,,,,,,,
PK-B-ZP411,Bolsa plastica ZAP4 c/cable - 15 x 37cm,"0,037",55,un,,,,,,,,,,,,,,
PK-B-ZP401,Bolsa plastica ZAP4 s/cable - 10 x 37cm,"0,027",41,un,,,,,,,,,,,,,,
PK-C-ZP01,Caja de carton 35x25x25 - Papelera Triunvirato (cmno de cintura y don bosco),"0,336",504,un,504,,,,,,,,,,,,,
PK-E-ZP411,Etiqueta,"0,033",50,un,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ARMADO,,,,,,,,,,,,,,,,,,
AR-ZP401,Armado ZAP4,"0,067",100,un,,,,,,,,,,,,,,
AR-ZP41X,"Armado cable blanco: desp vaina blanca x2, armar ficha, enrollar, colocar tecla y gomitas","0,067",100,un,,,,,,,,,,,,,,
AR-DESV,Desvainado,"0,003",5,,,,,,,,,,,,,,,
AR-GRIMP,Grimpado,"0,003",5,,,,,,,,,,,,,,,
,,"0,000",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
INYECCION POR PIEZA,,,,,,,,,,,,,,,,,,
INY-ZP411,Inyeccion ZAP4 con interruptor,"0,183",275,un,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
TERMINALES DE LATON,,,,,,,,,,,,,,,,,,
TP-MTG28L,"Metalgrab - Termnal de laton pala hembra 2,8mm (x1000u)","15,800",23700,,,,,,,,,,,,,,,
TP-MTG63L,"Metalgrab - Termnal de laton pala hembra 6,3mm (x1000u)","31,600",47400,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
TP-INZ28L,"Insustrias Z - Termnal de laton pala hembra 2,8mm (x1000u)","15,590",23385,,,,,,,,,,,,,,,
TP-INZ63L,"Insustrias Z - Termnal de laton pala hembra 6,3mm (x1000u)","31,250",46875,,,,,,,,,,,,,,,
TP-INZ63L-E,"Insustrias Z - Termnal de laton pala hembra 6,3mm ECONOMICO (x1000u)","25,850",38775,,,,,,,,,,,,,,,
TP-INZ63A,"Insustrias Z - Termnal de ACERO pala hembra 6,3mm (x1000u)","18,650",27975,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
FICHAS,,,,,,,,,,,,,,,,,,
