COD. INTERNO,DESCRIPCION,PRECIO USD,PRECIO ARS,,,,,,,,,,,,,,,
CH-TC01C,"TECNOCABLES - chicote 0,75 x 65mm - terminal PH2,8 - desv 9mm CELESTE","0,089","129,05",un,,0,,,,,,,,,,,,
CH-TC01C2,"TECNOCABLES - chicote 0,5 x 65mm - terminal PH2,8 - desv 9mm CELESTE","0,079","114,55",un,,0,,,,,,,,,,,,
CH-TC01V,"TECNOCABLES - chicote 0,75 x 65mm - terminal PH2,8 - desv 9mm VERDE","0,089","129,05",un,,0,,,,,,,,,,,,
CH-TC01V2,"TECNOCABLES - chicote 0,5 x 65mm - terminal PH2,8 - desv 9mm VERDE","0,079","114,55",un,,0,,,,,,,,,,,,
CH-TC02M,"TECNOCABLES - chicote 0,75 x 75mm - terminal PH6,35 - desv 9mm MARRON","0,087","126,15",un,,0,,,,,,,,,,,,
CH-TC02M2,"TECNOCABLES - chicote 0,5 x 75mm - terminal PH6,35 - desv 9mm MARRON","0,081","117,45",un,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,,,,
,,,0,,,,,,,,,,,,,,,
,,,0,,,,,,,,,,,,,,,
,,,0,,,,,,,,,,,,,,,
INTERRUPTORES,,,,,,,,,,,,,,,,,,
SW-EL10AST,ELEMON - 10A SIN termica - 13x29mm,"0,378","547,665",un,,1642995,,,,,,,,,,,,
SW-EL10ACT,ELEMON - 10A CON termica - 13x29mm,"1,016","1473,2",un,,,,,,,,,,,,,,
SW-AT10AST,ALCIDES TESSA - 10A sin termica - 13x29mm,,0,un,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
FERRETERIA,,,,,,,,,,,,,,,,,,
TRN-DT01,DALTOR - Tornillo de carcaza,"0,009","13,5",un,,,,,,,,,,,,,,
TRN-DT02,DALTOR - Tornillo p/bornera,"0,003","4,5",un,,,,,,,,,,,,,,
BRN-DT01,DALTOR - Cuadradito bornera,"0,012",18,un,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
BRN-TAC01,TAC - Cuadradito bornera ,"0,008","11,5",un,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
PACKAGING,,,,,,,,,,,,,,,,,,
PK-B-ZP415,Bolsa plastica ZAP4 c/cable - 15 x 42cm,"0,039","56,5",un,,,,,,,,,,,,,,
PK-B-ZP411,Bolsa plastica ZAP4 c/cable - 15 x 37cm,"0,034","49,5",un,,,,,,,,,,,,,,
PK-B-ZP401,Bolsa plastica ZAP4 s/cable - 10 x 37cm,"0,025",36,un,,,,,,,,,,,,,,
PK-C-ZP01,Caja de carton 35x25x25 - Papelera Triunvirato (cmno de cintura y don bosco),"0,337",489,un,,,,,,,,,,,,,,
PK-E-ZP411,Etiqueta,"0,028",40,un,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ARMADO,,,,,,,,,,,,,,,,,,
AR-ZP401,Armado ZAP4,"0,069",100,un,,,,,,,,,,,,,,
AR-ZP41X,"Armado cable blanco: desp vaina blanca x2, armar ficha, enrollar, colocar tecla y gomitas","0,069",100,un,,,,,,,,,,,,,,
,Desvainado,"0,003",5,,,,,,,,,,,,,,,
,Grimpado,"0,003",5,,,,,,,,,,,,,,,
,,"0,000",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
INYECCION POR PIEZA,,,,,,,,,,,,,,,,,,
INY-ZP411,Inyeccion ZAP4 con interruptor,"0,190",275,un,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
TERMINALES DE LATON,,,,,,,,,,,,,,,,,,
,"Metalgrab - Termnal de laton pala hembra 2,8mm (x1000u)","15,800",22910,,,,,,,,,,,,,,,
,"Metalgrab - Termnal de laton pala hembra 6,3mm (x1000u)","31,600",45820,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,"Insustrias Z - Termnal de laton pala hembra 2,8mm (x1000u)","15,590",22606,,,,,,,,,,,,,,,
,"Insustrias Z - Termnal de laton pala hembra 6,3mm (x1000u)","31,250",45313,,,,,,,,,,,,,,,
,"Insustrias Z - Termnal de laton pala hembra 6,3mm ECONOMICO (x1000u)","25,850",37483,,,,,,,,,,,,,,,
,"Insustrias Z - Termnal de ACERO pala hembra 6,3mm (x1000u)","18,650",27043,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
FICHAS,,,,,,,,,,,,,,,,,,
,RUBEN - Ficha blanca 3 pernos planos,"0,190",275,,,,,,,,,,,,,,,
,EL MUNDO DEL CABLE - Ficha blanca 3 pernos planos,"0,184",267,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
CHICOTES ZAP,,,,,,,,,,,,,,,,,,
,Chicote celeste y verde 70mm c/terminal PH 2.8 ,"0,030",44,,,,,,,,,,,,,,,
,"Chicote marron 70mm c/terminal PH 2,8","0,030",44,,,,,,,,,,,,,,,
,Chicote marron 70mm c/terminal PH 6.3,"0,046",67,,,,,,,,,,,,,,,
,Chicote marron 70mm c/terminal PH 2.8 y 6.3,"0,065",95,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
CABLES ZAP,,,,,,,,,,,,,,,,,,
,"ZAP - 3 x 0,5 vaina red. blanc con ficha y term PH 2,8-6,35 - 1,4mts","0,619",898,,,,,,,,,,,,,,,
,"ZAP - 3 x 0,5 vaina red. blanc con ficha y term PH 2,8-6,35 - 3mts","1,022",1482,,,,,,,,,,,,,,,
,"ZAP - 3 x 0,5 vaina red. blanc con ficha y term PH 2,8-6,35 - 5mts","1,525",2212,,,,,,,,,,,,,,,
